1021203012000193059611731     Linha Reta Centro Automotivo Ltda EPetrolina                     PE87398322442017010120180103331
5405440725000114551  00080254055000011710          000000010000000000097720000000011280000000000000000000000000000000000000000
5405440725000114551  00080254055000014291          000000010000000000003900000000000450000000000000000000000000000000000000000
5405440725000114551  00080254055000014285          000000010000000000043250000000004990000000000000000000000000000000000000000
5405440725000114551  00080254055000011327          000000010000000000056480000000006520000000000000000000000000000000000000000
5405440725000114551  00080254055000014434          000000010000000000101810000000011750000000000000000000000000000000000000000
5405440725000114551  00080254055000014435          000000010000000000031990000000003690000000000000000000000000000000000000000
5407063698000133551  00080364045000014547          000000010000000000578000000000000000000000000000000000000000000000000000000
5407063698000133551  00080364045000011532          000000010000000000755000000000000000000000000000000000000000000000000000000
5407063698000133551  0008046404500001572           000000060000000000263700000000000000000000000000000000000000000000000000000
5407063698000133551  00080464045000011904          000000010000000000070000000000000000000000000000000000000000000000000000000
5407063698000133551  00080464045000011154          000000020000000000440000000000000000000000000000000000000000000000000000000
5407063698000133551  00080464045000011447          000000010000000000060500000000000000000000000000000000000000000000000000000
5407063698000133551  00080464045000013120          000000010000000000124300000000000000000000000000000000000000000000000000000
5407063698000133551  00080464045000011156          000000010000000000088000000000000000000000000000000000000000000000000000000
5400348003004108551  00080554055000013210          000000010000000000826750000000000000000000000000000000000000000000000000000
5400348003004108551  0008055405500001591           000000010000000000435000000000000000000000000000000000000000000000000000000
5400348003004108551  00080554055000011633          000000010000000000017950000000000000000000000000000000000000000000000000000
5400348003004108551  0008055405500001673           000000010000000000016890000000000000000000000000000000000000000000000000000
5400348003004108551  0008055405500001673           000000010000000000016890000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014252          000000020000000000047600000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014251          000000010000000000025500000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014250          000000010000000000091850000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014249          000000020000000000157000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014530          000000010000000000799190000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014532          000000010000000000070000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014531          000000010000000000090000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014527          000000010000000000350000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014258          000000010000000000474300000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014257          000000010000000000161500000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014256          000000010000000000122400000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014255          000000020000000000102000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014254          000000010000000000039100000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014253          000000010000000000025500000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014248          000000020000000000182000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014247          000000020000000000442000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014246          000000010000000000051000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014245          000000020000000000034000000000000000000000000000000000000000000000000000000
5400348003004108551  00080654055000014244          000000010000000000323000000000000000000000000000000000000000000000000000000
5400348003004108551  0008065405500001636           000000010000000000030180000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000013854          000000020000000000007400000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000011895          000000020000000000073400000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000013899          000000010000000000430130000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000014049          000000010000000000145470000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000011279          000000010000000000111510000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000011000          000000020000000000672980000000000000000000000000000000000000000000000000000
5400348003004108551  000807540550000161            000000010000000000034020000000000000000000000000000000000000000000000000000
5400348003004108551  0008075405500001669           000000010000000000089780000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000013358          000000010000000000099270000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000013917          000000010000000000014180000000000000000000000000000000000000000000000000000
5400348003004108551  0008075405500001800           000000010000000000119640000000000000000000000000000000000000000000000000000
5400348003004108551  00080754055000013917          000000010000000000014180000000000000000000000000000000000000000000000000000
5400348003004108551  00080854055000014444          000000010000000000485030000000114970000000000000000000000000000000000000000
5400348003004108551  00080854055000014285          000000010000000000050600000000011990000000000000000000000000000000000000000
5400348003004108551  00080854055000014443          000000010000000000202100000000047900000000000000000000000000000000000000000
5400348003004108551  0008085405500001599           000000010000000000056590000000013410000000000000000000000000000000000000000
5400348003004108551  00080954055000014055          000000010000000000212430000000000000000000000000000000000000000000000000000
5400348003004108551  00080954055000014243          000000010000000000130950000000000000000000000000000000000000000000000000000
5400348003004108551  00081054055000011022          000000010000000000006470000000000030000000000000000000000000000000000000000
5400348003004108551  00081054055000011950          000000020000000000279480000000000520000000000000000000000000000000000000000
5400348003004108551  0008105405500001150           000000010000000000079850000000000150000000000000000000000000000000000000000
5400348003004108551  00081054055000011293          000000010000000000081760000000000150000000000000000000000000000000000000000
5400348003004108551  0008105405500001291           000000010000000000003280000000000010000000000000000000000000000000000000000
5400348003004108551  00081054055000011661          000000010000000000022510000000000040000000000000000000000000000000000000000
5400348003004108551  00081054055000011661          000000010000000000022510000000000040000000000000000000000000000000000000000
